S/N,State,Hospital Name,Disease,Total Visits,Reported Cases,Month,Year,Date
4647,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,42533,7041,December,2005,"Thursday, December 1, 2005"
4648,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,29128,9439,February,2022,"Tuesday, February 1, 2022"
4649,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,35244,14372,June,2005,"Wednesday, June 1, 2005"
4650,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,40239,104,November,2001,"Thursday, November 1, 2001"
4651,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,43459,20924,June,2010,"Tuesday, June 1, 2010"
4652,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,52806,7890,May,2015,"Friday, May 1, 2015"
4653,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,7377,2311,December,2016,"Thursday, December 1, 2016"
4654,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,17946,1726,May,2020,"Friday, May 1, 2020"
4655,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,22256,4054,July,2004,"Thursday, July 1, 2004"
4656,Plateau,BUTH - Bingham University Teaching Hospital,Cholera,6780,1876,October,2014,"Wednesday, October 1, 2014"
4657,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,59937,12501,March,2019,"Friday, March 1, 2019"
4658,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,8407,1760,December,2001,"Saturday, December 1, 2001"
4659,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,38692,1604,October,2005,"Saturday, October 1, 2005"
4660,Kogi,FMC Lokoja - Federal Medical Centre,Measles,61067,2496,October,2024,"Tuesday, October 1, 2024"
4661,Imo,FMC Owerri - Federal Medical Centre,Malaria,79768,3783,January,2006,"Sunday, January 1, 2006"
4662,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,36668,13240,May,2018,"Tuesday, May 1, 2018"
4663,Oyo,"UCH - University College Hospital, Ibadan",Malaria,49310,8952,March,2008,"Saturday, March 1, 2008"
4664,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,28854,5201,March,2014,"Saturday, March 1, 2014"
4665,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,23937,4168,June,2004,"Tuesday, June 1, 2004"
4666,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,42179,21019,February,2017,"Wednesday, February 1, 2017"
4667,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,9964,3946,March,2003,"Saturday, March 1, 2003"
4668,Imo,FMC Owerri - Federal Medical Centre,Malaria,76297,12552,December,2005,"Thursday, December 1, 2005"
4669,Abia,FMC Umuahia - Federal Medical Centre,Tuberculosis,23408,7050,December,2022,"Thursday, December 1, 2022"
4670,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,77219,22422,April,2012,"Sunday, April 1, 2012"
4671,Plateau,JUTH - Jos University Teaching Hospital,Measles,58149,3221,August,2007,"Wednesday, August 1, 2007"
4672,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,1758,615,January,2006,"Sunday, January 1, 2006"
4673,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,61613,28954,January,2010,"Friday, January 1, 2010"
4674,Plateau,BUTH - Bingham University Teaching Hospital,Measles,65177,18905,August,2008,"Friday, August 1, 2008"
4675,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,14504,3149,June,2001,"Friday, June 1, 2001"
4676,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,9159,567,May,2010,"Saturday, May 1, 2010"
4677,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,3964,443,November,2008,"Saturday, November 1, 2008"
4678,Imo,FMC Owerri - Federal Medical Centre,Malaria,59458,9518,September,2020,"Tuesday, September 1, 2020"
4679,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,10582,4214,February,2006,"Wednesday, February 1, 2006"
4680,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,34313,2450,December,2013,"Sunday, December 1, 2013"
4681,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,12241,4394,July,2014,"Tuesday, July 1, 2014"
4682,Plateau,BUTH - Bingham University Teaching Hospital,Typhoid,22917,100,April,2000,"Saturday, April 1, 2000"
4683,Abia,FMC Umuahia - Federal Medical Centre,Measles,4676,1124,May,2012,"Tuesday, May 1, 2012"
4684,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,17697,2466,December,2018,"Saturday, December 1, 2018"
4685,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,37969,15881,March,2003,"Saturday, March 1, 2003"
4686,Kogi,FMC Lokoja - Federal Medical Centre,Lassa Fever,76564,7775,May,2004,"Saturday, May 1, 2004"
4687,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,58778,6750,October,2009,"Thursday, October 1, 2009"
4688,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,49615,22786,January,2017,"Sunday, January 1, 2017"
4689,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,66926,21047,September,2024,"Sunday, September 1, 2024"
4690,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,78051,23376,April,2002,"Monday, April 1, 2002"
4691,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,76667,36324,December,2012,"Saturday, December 1, 2012"
4692,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,20105,4926,June,2001,"Friday, June 1, 2001"
4693,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,15273,880,May,2007,"Tuesday, May 1, 2007"
4694,Plateau,BUTH - Bingham University Teaching Hospital,Cholera,76401,2840,September,2016,"Thursday, September 1, 2016"
4695,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,32269,6890,August,2020,"Saturday, August 1, 2020"
4696,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,7013,2423,July,2004,"Thursday, July 1, 2004"
4697,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,65026,2841,December,2022,"Thursday, December 1, 2022"
4698,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,3630,118,July,2005,"Friday, July 1, 2005"
4699,Edo,UBTH - University of Benin Teaching Hospital,Measles,71104,35387,August,2017,"Tuesday, August 1, 2017"
4700,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,38044,16773,February,2010,"Monday, February 1, 2010"
4701,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,32379,13018,April,2019,"Monday, April 1, 2019"
4702,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,60741,1086,October,2011,"Saturday, October 1, 2011"
4703,Plateau,BUTH - Bingham University Teaching Hospital,Measles,15352,4279,November,2015,"Sunday, November 1, 2015"
4704,Delta,DELTA FMC - Federal Medical Centre Asaba,Cholera,47851,18535,September,2020,"Tuesday, September 1, 2020"
4705,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,34091,1886,April,2002,"Monday, April 1, 2002"
4706,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,38223,2961,December,2024,"Sunday, December 1, 2024"
4707,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,64813,31709,January,2010,"Friday, January 1, 2010"
4708,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,46880,16607,May,2000,"Monday, May 1, 2000"
4709,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,68101,331,July,2017,"Saturday, July 1, 2017"
4710,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,19446,9355,October,2000,"Sunday, October 1, 2000"
4711,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,59488,14093,April,2019,"Monday, April 1, 2019"
4712,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Lassa Fever,22939,2538,April,2022,"Friday, April 1, 2022"
4713,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,33756,13775,July,2003,"Tuesday, July 1, 2003"
4714,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,37953,14881,March,2001,"Thursday, March 1, 2001"
4715,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,19300,3483,July,2023,"Saturday, July 1, 2023"
4716,Imo,FMC Owerri - Federal Medical Centre,Malaria,14829,2318,August,2017,"Tuesday, August 1, 2017"
4717,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,55562,6490,January,2009,"Thursday, January 1, 2009"
4718,Abia,FMC Umuahia - Federal Medical Centre,Lassa Fever,29395,6364,February,2010,"Monday, February 1, 2010"
4719,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,74577,22375,October,2009,"Thursday, October 1, 2009"
4720,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,18926,7741,August,2024,"Thursday, August 1, 2024"
4721,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,72847,33457,November,2010,"Monday, November 1, 2010"
4722,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,24748,3931,March,2001,"Thursday, March 1, 2001"
4723,Edo,UBTH - University of Benin Teaching Hospital,Measles,65204,12330,November,2022,"Tuesday, November 1, 2022"
4724,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,3391,1199,February,2002,"Friday, February 1, 2002"
4725,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,64377,26865,January,2013,"Tuesday, January 1, 2013"
4726,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,67921,1635,December,2017,"Friday, December 1, 2017"
4727,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,12893,3041,January,2002,"Tuesday, January 1, 2002"
4728,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,66187,10860,December,2016,"Thursday, December 1, 2016"
4729,Abia,FMC Umuahia - Federal Medical Centre,Malaria,62297,28035,July,2022,"Friday, July 1, 2022"
4730,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,43920,21393,February,2009,"Sunday, February 1, 2009"
4731,Imo,FMC Owerri - Federal Medical Centre,Measles,27800,5164,August,2004,"Sunday, August 1, 2004"
4732,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,30785,13874,March,2009,"Sunday, March 1, 2009"
4733,Abia,FMC Umuahia - Federal Medical Centre,Cholera,79735,8163,June,2003,"Sunday, June 1, 2003"
4734,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,53638,4387,April,2006,"Saturday, April 1, 2006"
4735,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,48766,12172,January,2011,"Saturday, January 1, 2011"
4736,Enugu,UNTH - University of Nigeria Teaching Hospital,Malaria,46556,7443,October,2016,"Saturday, October 1, 2016"
4737,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,33374,8295,December,2001,"Saturday, December 1, 2001"
4738,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,28072,2895,May,2009,"Friday, May 1, 2009"
4739,Edo,UBTH - University of Benin Teaching Hospital,Cholera,56953,23251,February,2018,"Thursday, February 1, 2018"
4740,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,77026,14816,September,2010,"Wednesday, September 1, 2010"
4741,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,34608,2837,May,2019,"Wednesday, May 1, 2019"
4742,Edo,UBTH - University of Benin Teaching Hospital,Malaria,37477,2187,April,2023,"Saturday, April 1, 2023"
4743,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,77617,6956,July,2020,"Wednesday, July 1, 2020"
4744,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,39279,1410,April,2021,"Thursday, April 1, 2021"
4745,Oyo,"UCH - University College Hospital, Ibadan",Malaria,72679,30594,September,2002,"Sunday, September 1, 2002"
4746,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,14690,3804,September,2016,"Thursday, September 1, 2016"
4747,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,43329,4493,November,2021,"Monday, November 1, 2021"
4748,Lagos,LUTH - Lagos University Teaching Hospital,Measles,8190,3195,March,2018,"Thursday, March 1, 2018"
4749,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,49088,3886,September,2024,"Sunday, September 1, 2024"
4750,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,45227,17825,March,2007,"Thursday, March 1, 2007"
4751,Plateau,BUTH - Bingham University Teaching Hospital,Typhoid,57271,3399,October,2017,"Sunday, October 1, 2017"
4752,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,6092,2081,July,2014,"Tuesday, July 1, 2014"
4753,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,57831,21448,November,2000,"Wednesday, November 1, 2000"
4754,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,21048,1964,May,2002,"Wednesday, May 1, 2002"
4755,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,50959,17148,February,2018,"Thursday, February 1, 2018"
4756,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,26714,11064,May,2003,"Thursday, May 1, 2003"
4757,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,28259,7035,February,2021,"Monday, February 1, 2021"
4758,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,58434,25458,March,2018,"Thursday, March 1, 2018"
4759,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,77589,4830,May,2023,"Monday, May 1, 2023"
4760,Enugu,UNTH - University of Nigeria Teaching Hospital,Malaria,73210,5884,February,2007,"Thursday, February 1, 2007"
4761,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,56576,6938,May,2006,"Monday, May 1, 2006"
4762,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,47225,6343,June,2011,"Wednesday, June 1, 2011"
4763,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,12789,5382,November,2018,"Thursday, November 1, 2018"
4764,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,61226,5868,July,2006,"Saturday, July 1, 2006"
4765,Plateau,BUTH - Bingham University Teaching Hospital,Measles,66098,20849,July,2005,"Friday, July 1, 2005"
4766,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Lassa Fever,62886,23788,July,2000,"Saturday, July 1, 2000"
4767,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,72823,16752,June,2017,"Thursday, June 1, 2017"
4768,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,18082,4062,November,2021,"Monday, November 1, 2021"
4769,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,33997,5766,July,2019,"Monday, July 1, 2019"
4770,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,27486,9937,February,2020,"Saturday, February 1, 2020"
4771,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,27177,698,December,2017,"Friday, December 1, 2017"
4772,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,14078,3873,March,2013,"Friday, March 1, 2013"
4773,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,5111,775,December,2005,"Thursday, December 1, 2005"
4774,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,46241,19376,October,2000,"Sunday, October 1, 2000"
4775,Plateau,JUTH - Jos University Teaching Hospital,Measles,74227,27772,January,2006,"Sunday, January 1, 2006"
4776,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,77999,15938,January,2011,"Saturday, January 1, 2011"
4777,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,56885,25737,March,2016,"Tuesday, March 1, 2016"
4778,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,50665,13389,May,2003,"Thursday, May 1, 2003"
4779,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,66357,20478,January,2020,"Wednesday, January 1, 2020"
4780,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,19222,7415,November,2013,"Friday, November 1, 2013"
4781,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,15821,5588,March,2015,"Sunday, March 1, 2015"
4782,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,50659,19371,June,2021,"Tuesday, June 1, 2021"
4783,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,24377,7659,February,2012,"Wednesday, February 1, 2012"
4784,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,41374,2459,March,2017,"Wednesday, March 1, 2017"
4785,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,56288,6531,December,2015,"Tuesday, December 1, 2015"
4786,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,64348,306,December,2024,"Sunday, December 1, 2024"
4787,Oyo,"UCH - University College Hospital, Ibadan",Malaria,9965,869,May,2019,"Wednesday, May 1, 2019"
4788,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,50733,1009,January,2009,"Thursday, January 1, 2009"
4789,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,12144,407,February,2017,"Wednesday, February 1, 2017"
4790,Oyo,"UCH - University College Hospital, Ibadan",Measles,57654,28710,November,2010,"Monday, November 1, 2010"
4791,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,49006,2943,December,2005,"Thursday, December 1, 2005"
4792,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,17472,8684,August,2005,"Monday, August 1, 2005"
4793,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,48276,20440,November,2019,"Friday, November 1, 2019"
4794,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,51575,24532,July,2013,"Monday, July 1, 2013"
4795,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,22894,6291,November,2018,"Thursday, November 1, 2018"
4796,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,20637,7852,August,2012,"Wednesday, August 1, 2012"
4797,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,12004,2452,November,2023,"Wednesday, November 1, 2023"
4798,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,16412,3280,March,2024,"Friday, March 1, 2024"
4799,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,62927,28696,January,2012,"Sunday, January 1, 2012"
4800,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,35698,1886,October,2002,"Tuesday, October 1, 2002"
4801,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,37766,13467,September,2002,"Sunday, September 1, 2002"
4802,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,34233,13530,February,2018,"Thursday, February 1, 2018"
4803,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,17657,7395,May,2006,"Monday, May 1, 2006"
4804,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,66354,25794,December,2000,"Friday, December 1, 2000"
4805,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,78271,27296,February,2018,"Thursday, February 1, 2018"
4806,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,21073,4622,February,2001,"Thursday, February 1, 2001"
4807,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,53163,14068,January,2007,"Monday, January 1, 2007"
4808,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,73403,12658,December,2017,"Friday, December 1, 2017"
4809,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,51098,9859,August,2018,"Wednesday, August 1, 2018"
4810,Enugu,UNTH - University of Nigeria Teaching Hospital,Malaria,53501,1488,May,2018,"Tuesday, May 1, 2018"
4811,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,25682,9774,February,2019,"Friday, February 1, 2019"
4812,Imo,FMC Owerri - Federal Medical Centre,Measles,34391,1267,August,2001,"Wednesday, August 1, 2001"
4813,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,46764,21055,March,2022,"Tuesday, March 1, 2022"
4814,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,35536,2965,February,2012,"Wednesday, February 1, 2012"
4815,Enugu,UNTH - University of Nigeria Teaching Hospital,Measles,34950,543,January,2007,"Monday, January 1, 2007"
4816,Oyo,"UCH - University College Hospital, Ibadan",Malaria,70212,34071,July,2009,"Wednesday, July 1, 2009"
4817,Edo,UBTH - University of Benin Teaching Hospital,Measles,13537,2144,April,2015,"Wednesday, April 1, 2015"
4818,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,17290,4496,March,2016,"Tuesday, March 1, 2016"
4819,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,27205,12103,September,2014,"Monday, September 1, 2014"
4820,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,62070,29379,August,2004,"Sunday, August 1, 2004"
4821,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,42133,19556,August,2012,"Wednesday, August 1, 2012"
4822,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,14976,722,March,2006,"Wednesday, March 1, 2006"
4823,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,26687,3202,September,2001,"Saturday, September 1, 2001"
4824,Abia,FMC Umuahia - Federal Medical Centre,Malaria,77420,19175,August,2006,"Tuesday, August 1, 2006"
4825,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,41824,4205,January,2015,"Thursday, January 1, 2015"
4826,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,59979,6642,April,2016,"Friday, April 1, 2016"
4827,Abia,FMC Umuahia - Federal Medical Centre,Cholera,2983,467,May,2012,"Tuesday, May 1, 2012"
4828,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,54924,19588,March,2023,"Wednesday, March 1, 2023"
4829,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,79303,18407,September,2013,"Sunday, September 1, 2013"
4830,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,25069,8170,January,2024,"Monday, January 1, 2024"
4831,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,58717,1305,May,2000,"Monday, May 1, 2000"
4832,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,57666,22300,March,2007,"Thursday, March 1, 2007"
4833,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,21988,3505,January,2006,"Sunday, January 1, 2006"
4834,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,40376,4614,January,2004,"Thursday, January 1, 2004"
4835,Plateau,BUTH - Bingham University Teaching Hospital,Typhoid,67655,30992,September,2019,"Sunday, September 1, 2019"
4836,Abia,FMC Umuahia - Federal Medical Centre,Cholera,39431,2446,December,2000,"Friday, December 1, 2000"
4837,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,79432,1974,December,2019,"Sunday, December 1, 2019"
4838,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,7462,2918,March,2015,"Sunday, March 1, 2015"
4839,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,60303,13199,May,2002,"Wednesday, May 1, 2002"
4840,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,19459,5594,September,2000,"Friday, September 1, 2000"
4841,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,75391,24372,January,2016,"Friday, January 1, 2016"
4842,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,76221,17175,July,2004,"Thursday, July 1, 2004"
4843,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,46187,2954,December,2003,"Monday, December 1, 2003"
4844,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,41070,12270,August,2004,"Sunday, August 1, 2004"
4845,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,35770,218,March,2012,"Thursday, March 1, 2012"
4846,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,39682,12868,February,2014,"Saturday, February 1, 2014"
4847,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,52147,19256,May,2018,"Tuesday, May 1, 2018"
4848,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,49803,17192,August,2017,"Tuesday, August 1, 2017"
4849,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,48611,18801,November,2001,"Thursday, November 1, 2001"
4850,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,67248,22521,February,2008,"Friday, February 1, 2008"
4851,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,57466,19461,December,2024,"Sunday, December 1, 2024"
4852,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,50853,21326,January,2000,"Saturday, January 1, 2000"
4853,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,19118,3712,June,2014,"Sunday, June 1, 2014"
4854,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,46451,886,February,2003,"Saturday, February 1, 2003"
4855,Edo,UBTH - University of Benin Teaching Hospital,Measles,17706,4430,July,2023,"Saturday, July 1, 2023"
4856,Plateau,JUTH - Jos University Teaching Hospital,Cholera,73573,11401,April,2000,"Saturday, April 1, 2000"
4857,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,45925,12235,March,2005,"Tuesday, March 1, 2005"
4858,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,61212,11642,December,2005,"Thursday, December 1, 2005"
4859,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,61687,22123,June,2012,"Friday, June 1, 2012"
4860,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,1379,548,December,2010,"Wednesday, December 1, 2010"
4861,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,60309,18339,April,2020,"Wednesday, April 1, 2020"
4862,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,3782,317,June,2007,"Friday, June 1, 2007"
4863,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,54053,23875,January,2021,"Friday, January 1, 2021"
4864,Edo,UBTH - University of Benin Teaching Hospital,Cholera,27944,2999,January,2013,"Tuesday, January 1, 2013"
4865,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,36793,15083,October,2023,"Sunday, October 1, 2023"
4866,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,41183,12317,April,2018,"Sunday, April 1, 2018"
4867,Oyo,"UCH - University College Hospital, Ibadan",Cholera,47942,1794,January,2024,"Monday, January 1, 2024"
4868,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,73024,10479,May,2010,"Saturday, May 1, 2010"
4869,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,72249,25729,March,2003,"Saturday, March 1, 2003"
4870,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,50856,14871,August,2004,"Sunday, August 1, 2004"
4871,Delta,DELTA FMC - Federal Medical Centre Asaba,Cholera,12030,4205,January,2015,"Thursday, January 1, 2015"
4872,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,54684,3910,September,2023,"Friday, September 1, 2023"
